,x
1,1.567343125
2,1.580328645
3,1.499773679
4,1.486449053
5,1.519120181
6,1.535951054
7,1.516106141
8,1.522513063
9,1.503955419
10,1.562897303
11,1.541016716
12,1.573561595
13,1.487376907
14,1.530100966
15,1.47754919
16,1.500216581
17,1.541956294
18,1.533694899
19,1.544601324
20,1.477057263
21,1.486052437
22,1.502225855
23,1.481058826
24,1.45884585
25,1.371038377
26,1.451967637
27,1.412476977
28,1.419972811
29,1.395205743
30,1.368368259
31,1.36002815
32,1.360666046
33,1.337901548
34,1.363741485
35,1.285101319
36,1.313411384
37,1.380809977
38,1.326635537
39,1.345128014
40,1.391465594
41,1.357987307
42,1.358702822
43,1.322556457
44,1.322134022
45,1.353816651
46,1.360352675
47,1.362230821
48,1.345261167
49,1.359702876
50,1.41131665
51,1.376041963
52,1.476333621
53,1.488830601
54,1.444291924
55,1.468996833
56,1.571636088
57,1.480488393
58,1.499768437
59,1.516652247
60,1.521374078
61,1.502961449
62,1.518772339
63,1.551432171
64,1.424516348
65,1.434299081
66,1.42466933
67,1.433377717
68,1.406339436
69,1.416431472
70,1.480651532
71,1.387968722
72,1.426433785
73,1.438829257
74,1.410839081
75,1.412559907
76,1.433797738
77,1.412263195
78,1.424372434
79,1.439846556
80,1.434570627
81,1.448968412
82,1.458761657
83,1.417308053
84,1.455841356
85,1.430791297
86,1.437499711
87,1.469623296
88,1.44215493
89,1.418841876
90,1.455993096
91,1.452137061
92,1.379976541
93,1.452641941
94,1.378155159
95,1.402199203
96,1.275183522
97,1.306337217
98,1.300926181
99,1.271027914
100,1.320544365
101,1.345647516
102,1.372619634
103,1.319357554
104,1.368891958
105,1.338800577
106,1.355410177
107,1.344276418
108,1.317375468
109,1.331422686
110,1.310153874
111,1.318835127
112,1.315982096
113,1.312505409
114,1.393353574
115,1.376232214
116,1.339053069
117,1.371996028
118,1.370373995
119,1.315975708
120,1.314873303
121,1.330622826
122,1.357602122
123,1.372644157
124,1.304641437
125,1.391990603
126,1.357681044
127,1.353715337
128,1.339083955
129,1.355578978
130,1.28905598
131,1.28923999
132,1.302974984
133,1.333198903
134,1.327826761
135,1.339410876
136,1.308164303
137,1.294130361
138,1.333184762
139,1.297239138
140,1.284620825
