,x
1,0.238069875
2,0.315811079
3,0.339262131
4,0.420576972
5,0.327382188
6,0.235100153
7,0.347010022
8,0.356053495
9,0.351731778
10,0.254697961
11,0.375761346
12,0.333613158
13,0.304021536
14,0.250633471
15,0.290653432
16,0.318139012
17,0.252159696
18,0.346157327
19,0.294466943
20,0.267130759
21,0.231196551
22,0.260130721
23,0.26020955
24,0.295713729
25,0.261527027
26,0.318710667
27,0.283407592
28,0.285646508
29,0.312111744
30,0.343352167
31,0.268899759
32,0.340535783
33,0.282536647
34,0.325395775
35,0.297835676
36,0.349480687
37,0.301453223
38,0.417017926
39,0.336048744
40,0.249360089
41,0.332021644
42,0.307798489
43,0.391668069
44,0.319510658
45,0.265979091
46,0.435090722
47,0.286932949
48,0.273831606
49,0.354808118
50,0.25799868
51,0.325860731
52,0.364509085
53,0.274316307
54,0.251099494
55,0.291740338
56,0.287042945
57,0.236359877
58,0.194234901
59,0.267113631
60,0.183813643
61,0.267444652
62,0.299865271
63,0.247788229
64,0.271747768
65,0.335680583
66,0.307758443
67,0.28040284
68,0.32286801
69,0.290826291
70,0.294217435
71,0.330126376
72,0.301176938
73,0.307531301
74,0.259439515
75,0.401897759
76,0.309197874
77,0.357680699
78,0.212435893
79,0.382092322
80,0.295597088
81,0.364519311
82,0.281665985
83,0.262574058
84,0.375983161
85,0.223174697
86,0.243651847
87,0.328557042
88,0.356932761
89,0.227436039
90,0.39030106
91,0.317941239
92,0.319852286
93,0.337507917
94,0.262938563
95,0.25680982
96,0.338962503
97,0.318563094
98,0.291588112
99,0.241667968
100,0.42197939
101,0.37483039
102,0.343487856
103,0.342044879
104,0.324484103
105,0.287311691
106,0.329356516
107,0.282820243
108,0.388923377
109,0.328999478
110,0.361340587
111,0.280790422
112,0.359045282
113,0.228114288
114,0.332139878
115,0.316852989
116,0.356162373
117,0.368044256
118,0.307995283
119,0.323539785
120,0.266179251
121,0.317873756
122,0.324787345
123,0.349261163
124,0.320390242
125,0.214749501
126,0.293978309
127,0.294538211
128,0.225070359
129,0.362618675
130,0.369353199
131,0.26734484
132,0.297207919
133,0.438187046
134,0.336845785
135,0.30340147
136,0.250090773
137,0.403830937
138,0.242262991
139,0.292091157
140,0.405711712
141,0.383014384
142,0.249066037
143,0.328323378
144,0.254748641
145,0.345956265
146,0.312826928
147,0.38391184
148,0.46065775
149,0.342270521
150,0.364465588
151,0.271115338
152,0.368359759
153,0.30300517
154,0.352523051
155,0.322945433
156,0.270023693
157,0.416946172
158,0.280305636
159,0.340407993
160,0.323516418
161,0.431443895
162,0.366271499
163,0.378390302
164,0.329667933
165,0.271512531
166,0.368963953
167,0.406429355
168,0.35829431
169,0.446090545
170,0.373446186
171,0.449725337
172,0.274457627
173,0.309719157
174,0.330458869
175,0.383731326
176,0.397672954
177,0.282171943
178,0.358391648
179,0.436644203
180,0.339251511
181,0.328881297
182,0.350465832
183,0.356551795
184,0.294938986
185,0.334319251
186,0.353885227
187,0.345435798
188,0.338147553
189,0.428485457
190,0.267221845
191,0.346490862
192,0.340662581
193,0.334630562
194,0.356986754
195,0.406537646
196,0.345326994
197,0.459162539
198,0.3498546
199,0.34449355
200,0.395802714
201,0.390178802
202,0.392987
203,0.430226325
204,0.485376475
205,0.26572941
206,0.413856414
207,0.373124666
208,0.367184432
209,0.367976058
210,0.347569729
211,0.354846172
212,0.485997447
213,0.42495284
214,0.413110476
215,0.420589545
216,0.392227784
217,0.441927409
218,0.434245967
219,0.366056395
220,0.477157704
221,0.399198241
222,0.400447783
223,0.390909209
224,0.470925544
225,0.369079696
226,0.430875718
227,0.453089795
228,0.396056191
229,0.314948737
230,0.435346971
231,0.392412261
232,0.364874038
233,0.339886308
234,0.455672472
235,0.499354337
236,0.346868496
237,0.290255476
238,0.291486468
239,0.432427038
240,0.353691081
241,0.38020995
242,0.280315575
243,0.335118911
244,0.320014903
245,0.392991697
246,0.358662089
247,0.415772726
248,0.445401786
249,0.344858828
250,0.284176044
251,0.390225755
252,0.490101949
253,0.314496322
254,0.43410279
255,0.338755564
256,0.441211762
257,0.456319264
258,0.351393161
259,0.461151672
260,0.459979156
261,0.402023121
262,0.348444349
263,0.380325107
264,0.37367479
265,0.444531489
266,0.31483086
267,0.377078925
268,0.410262614
269,0.453823098
270,0.293658335
271,0.386757371
272,0.318723645
273,0.376669613
274,0.37627407
275,0.339406387
276,0.425082343
277,0.394967229
278,0.398443628
279,0.336796812
280,0.376629669
281,0.314070113
282,0.408081225
283,0.406756023
284,0.405599043
285,0.319261927
286,0.407293135
287,0.41821743
288,0.365008482
289,0.418671845
290,0.340132589
291,0.334394369
292,0.35522599
293,0.416679087
294,0.31275371
295,0.436194228
296,0.300968731
297,0.410815442
298,0.447585957
299,0.299756664
300,0.351203944
301,0.382761362
302,0.354482281
303,0.325785947
304,0.421344878
305,0.47336182
306,0.362424868
307,0.43495713
308,0.303853976
309,0.425128778
310,0.401187871
311,0.382156071
312,0.405345766
313,0.359999504
314,0.446946159
315,0.49948423
316,0.283791348
317,0.35994733
318,0.364758426
319,0.311665872
320,0.416753552
321,0.420041487
322,0.440176774
323,0.360691777
324,0.345624963
325,0.413710674
326,0.362621865
327,0.367046566
328,0.377806968
329,0.292267182
330,0.323523268
331,0.286734587
332,0.389911115
333,0.414811864
334,0.402853617
335,0.395222828
336,0.40401116
337,0.421430212
338,0.399175867
339,0.375118781
340,0.347593675
341,0.402046426
342,0.467801959
343,0.394585171
344,0.429830274
345,0.400252717
346,0.380183201
347,0.390751567
348,0.362053891
349,0.419275545
350,0.375001678
351,0.420712577
352,0.379496826
353,0.33624225
354,0.347162836
355,0.339176314
356,0.376521253
357,0.456459446
358,0.36428443
359,0.458060964
360,0.363247394
361,0.345446291
362,0.332189877
363,0.325346826
364,0.357897629
365,0.389350302
366,0.435416468
367,0.345503959
368,0.356722323
369,0.426368378
370,0.381312957
371,0.402378245
372,0.435126195
373,0.39639262
374,0.496700061
375,0.427847221
376,0.382645988
377,0.379250513
378,0.330788709
379,0.318792447
380,0.410537352
381,0.376182812
382,0.47805931
383,0.382938462
384,0.408139127
385,0.374777748
386,0.298030233
387,0.409028464
388,0.427483221
389,0.321848587
390,0.423553686
391,0.363285816
392,0.548998599
393,0.373958753
394,0.485693757
395,0.339751133
396,0.352366615
397,0.429739512
398,0.365461845
399,0.33792747
400,0.383267911
401,0.418796841
402,0.433252149
403,0.417608661
404,0.387291774
405,0.374955752
406,0.323958126
407,0.37418904
408,0.478204336
409,0.454598926
410,0.417928953
411,0.393678458
412,0.332340058
413,0.399042903
414,0.324117032
415,0.399119197
416,0.405926576
417,0.3851075
418,0.409660136
419,0.372816819
420,0.419708468
421,0.379339975
422,0.439621414
423,0.365780503
424,0.564350085
425,0.479633262
426,0.401545246
427,0.415931637
428,0.468421703
429,0.43211984
430,0.395620956
431,0.437754212
432,0.347325755
433,0.373887099
434,0.468941098
435,0.467272057
436,0.34100908
437,0.478107596
438,0.399826151
439,0.476918333
440,0.468730093
441,0.413303852
442,0.398240393
443,0.307176887
444,0.43004895
445,0.37044131
446,0.393109865
447,0.410828844
448,0.398941904
449,0.430026835
450,0.333620028
451,0.408386179
452,0.428511997
453,0.323825826
454,0.397510919
455,0.512606613
456,0.396528642
457,0.372343174
458,0.330700474
459,0.332899851
460,0.32049096
461,0.401598551
462,0.359210714
463,0.422578338
464,0.355849732
465,0.412501496
466,0.29870498
467,0.309859092
468,0.388417171
469,0.362851816
470,0.427438575
471,0.321570098
472,0.293504198
473,0.437078109
474,0.359997923
475,0.406898843
476,0.398054647
477,0.304657081
478,0.400438528
479,0.43786931
480,0.374264843
481,0.428625382
482,0.394557342
483,0.308210594
484,0.438849438
485,0.419895563
486,0.351979923
487,0.492935466
488,0.360716733
489,0.501791096
490,0.449747021
491,0.380464625
492,0.392958016
493,0.382201569
494,0.321276633
495,0.437561552
496,0.314033984
497,0.481322862
498,0.387736467
499,0.340915288
500,0.37137553
501,0.383941578
502,0.270132566
503,0.286110508
504,0.284584114
505,0.378433285
506,0.41680423
507,0.332126043
508,0.400714126
509,0.511652205
510,0.35864583
511,0.431610404
512,0.378931004
513,0.384273048
514,0.377793534
515,0.401821564
516,0.347564477
517,0.475332439
518,0.324662304
519,0.426964055
520,0.445022378
521,0.307589662
522,0.365695551
523,0.446419223
524,0.381661668
525,0.4073395
526,0.3824106
527,0.41832993
528,0.396302936
529,0.536847382
530,0.337276391
531,0.362555421
532,0.407080766
533,0.4209588
534,0.509681267
535,0.358286409
536,0.540708102
537,0.482693935
538,0.468813404
539,0.361585079
540,0.468774759
541,0.445304978
542,0.421011653
543,0.36647489
544,0.479100032
545,0.415682299
546,0.417743499
547,0.427784807
548,0.373950077
549,0.398996584
550,0.34641263
551,0.424742396
552,0.386922826
553,0.563019717
554,0.333515348
555,0.348934247
556,0.438643583
557,0.378857657
558,0.393998305
559,0.444882422
560,0.369822244
561,0.448801565
562,0.426540399
563,0.318519973
564,0.331077821
565,0.309723284
566,0.357614551
567,0.37407816
568,0.385040821
569,0.501090403
570,0.409168377
571,0.469953578
572,0.460631139
573,0.370386449
574,0.498177856
575,0.390857059
