,x
1,10
2,10.26444162
3,10.55707268
4,10.72918808
5,10.72918808
6,10.72918808
7,10.72918808
8,10.72918808
9,10.72918808
10,10.95718099
11,10.95718099
12,10.95718099
13,11.11661105
14,11.11661105
15,11.11661105
16,11.11661105
17,11.11661105
18,11.31401217
19,11.51397551
20,11.62720379
21,11.82313433
22,12.11170117
23,12.21015594
24,12.21015594
25,12.47128005
26,12.47128005
27,12.68245454
28,12.68245454
29,12.96815781
30,12.98358286
31,12.98358286
32,12.98358286
33,13.21901514
34,13.23711911
35,13.19709632
36,13.19709632
37,13.19709632
38,13.40750711
39,13.40750711
40,13.43391522
41,13.71112582
42,13.82585835
43,13.86899005
44,13.86899005
45,13.86899005
46,13.89064768
47,13.89064768
48,13.97158361
49,13.97158361
50,13.97158361
51,13.97158361
52,13.97158361
53,13.97158361
54,13.97158361
55,13.97158361
56,13.97158361
57,13.97158361
58,13.97158361
59,13.97158361
60,14.26253139
61,14.26253139
62,14.43402173
63,14.73259102
64,14.73259102
65,14.87437902
66,15.09450396
67,15.15678018
68,15.26670276
69,15.28023062
70,15.289392
71,15.40475558
72,15.55320816
73,15.72824291
74,15.88895496
75,15.84861626
76,15.94793079
77,15.94793079
78,15.94793079
79,16.0490261
80,16.25940257
81,16.26136654
82,16.26136654
83,16.37946629
84,16.55452334
85,16.71665794
86,16.71665794
87,16.5792902
88,16.5057914
89,16.5057914
90,16.80184817
91,17.03042885
92,17.03042885
93,17.28735228
94,17.28735228
95,17.24027642
96,17.41127918
97,17.69506424
98,17.69506424
99,17.74746948
100,17.96880355
101,17.96880355
102,17.96880355
103,18.04660438
104,18.04660438
105,17.81695003
106,17.89149447
107,17.89149447
108,17.89149447
109,17.74437861
110,17.92186292
111,17.90210941
112,17.8264152
113,17.55754483
114,17.71373348
115,17.71353311
116,17.71353311
117,17.88569026
118,18.13412861
119,18.15127189
120,18.41540819
121,18.59024947
122,18.87737879
123,18.87737879
124,19.0069168
125,19.0069168
126,19.0069168
127,18.85903991
128,19.04996722
129,19.19898272
130,19.31213225
131,19.5472353
132,19.7964053
133,19.7964053
134,19.80432563
135,19.80432563
136,19.80432563
137,20.06813898
138,20.04233851
139,20.04233851
140,20.30640467
141,20.30640467
142,20.30640467
143,20.22414808
144,20.01140505
145,20.13417691
146,20.13417691
147,20.07879813
148,20.07879813
149,19.95169365
150,19.8790538
151,19.9981274
152,20.26722029
153,20.34778512
154,20.57413106
155,20.57413106
156,20.79393171
157,20.9999447
158,21.19752839
159,21.29315586
160,21.50015929
161,21.57493559
162,21.77641569
163,21.83815887
164,22.0784203
165,22.2053541
166,22.28150621
167,22.0078793
168,22.0895796
169,22.20245876
170,22.38253351
171,22.62435973
172,22.50054731
173,22.2909097
174,22.07546761
175,21.85359977
176,21.61126056
177,21.61126056
178,21.61048201
179,21.77913609
180,21.9377827
181,22.04245085
182,21.77923444
183,21.9879827
184,22.11935502
185,22.2649224
186,22.24440921
187,22.24440921
188,22.24440921
189,22.12541949
190,22.11529713
191,22.23382952
192,22.10564492
193,22.29271659
194,22.32895622
195,22.44239976
196,22.37976321
197,22.37845557
198,22.15073581
199,22.26066495
200,22.26066495
201,22.372259
202,22.3463157
203,22.28462088
204,22.57471141
205,22.57471141
206,22.40154519
207,22.11581227
208,21.96980662
209,21.71706801
210,21.47571733
211,21.7652003
212,21.7652003
213,21.7652003
214,22.03117054
215,22.03117054
216,21.98528501
217,21.84878756
218,21.81089641
219,21.81089641
220,21.61032408
221,21.90884594
222,22.06684845
223,22.21864327
224,22.21864327
225,22.44020787
226,22.67677217
227,22.83768274
228,23.0034919
229,22.97769883
230,22.90295137
231,22.71363188
232,22.72078342
233,23.01358194
234,23.06271215
235,23.10899595
236,23.30640299
237,23.22266203
238,23.00676039
239,23.23239313
240,23.30562711
241,23.47611367
242,23.71366594
243,23.50254606
244,23.30278411
245,23.17981111
246,23.11014948
247,22.8357338
248,22.68845858
249,22.96942506
250,22.91645727
251,22.84542911
252,23.01427005
253,22.74528485
254,22.59831957
255,22.63906523
256,22.74663159
257,22.7650888
258,22.7085112
259,22.80341557
260,23.05736654
261,22.80310614
262,23.05513022
263,23.07178676
264,23.06580656
265,23.04270638
266,23.27509989
267,23.37100141
268,23.07179077
269,22.83691405
270,22.83691405
271,22.98519726
272,22.73555404
273,22.8357469
274,22.54539536
275,22.54485401
276,22.39897875
277,22.60192226
278,22.85000172
279,22.75459383
280,22.75459383
281,22.59217496
282,22.83678447
283,22.58317415
284,22.58317415
285,22.87149813
286,22.70137291
287,22.83699512
288,22.56218517
289,22.52419696
290,22.49041004
291,22.6575176
292,22.58549215
293,22.67258099
294,22.55259492
295,22.69544952
296,22.49896159
297,22.76769539
298,22.95472233
299,22.68059964
300,22.43266499
301,22.39002707
302,22.21143762
303,22.27344483
304,22.21790006
305,22.37346073
306,22.1985437
307,22.44732018
308,22.3922652
309,22.3922652
310,22.42200981
311,22.30137085
312,22.08301669
313,22.26120616
314,22.13794414
315,22.0951844
316,21.92299305
317,21.74521094
318,22.01764424
319,22.30308589
320,22.14478439
321,22.15081614
322,22.39135109
323,22.26209107
324,22.46725373
325,22.75428077
326,22.55808206
327,22.69644322
328,22.59958586
329,22.80059971
330,22.80640628
331,22.71741117
332,22.7246947
333,22.8140404
334,22.88176192
335,22.79608079
336,22.67158478
337,22.78543852
338,22.69721245
339,22.41166016
340,22.13880181
341,22.30389138
342,22.4616651
343,22.68127269
344,22.52201066
345,22.54584941
346,22.56883721
347,22.54196613
348,22.39140647
349,22.59609467
350,22.63936046
351,22.79225701
352,22.66880994
353,22.86922205
354,22.86922205
355,23.0589425
356,22.84207329
357,22.64086208
358,22.75125044
359,22.99985128
360,22.70187474
361,22.64992283
362,22.6610536
363,22.68074211
364,22.93390376
365,23.14537359
366,23.10796462
367,23.10236476
368,23.23520585
369,23.42706478
370,23.16887048
371,23.4330196
372,23.50047654
373,23.29403711
374,23.2733564
375,23.11741282
376,23.26252211
377,23.04650767
378,23.05350602
379,23.30391179
380,23.59464215
381,23.89224415
382,23.95882166
383,23.95882166
384,24.12315934
385,24.21213067
386,24.48240817
387,24.18342646
388,24.16792198
389,23.90905251
390,23.9943168
391,23.94070948
392,23.98224024
393,24.09737831
394,23.88275941
395,23.88043808
396,23.75967446
397,23.77333216
398,23.82686389
399,23.87831976
400,23.96127363
401,23.6813362
402,23.38417545
403,23.12795437
404,23.1536448
405,22.9903416
406,23.20304088
407,23.20388288
408,22.98955835
409,23.26969643
410,23.26399558
411,23.0122733
412,23.17308402
413,23.11660941
414,22.93475834
415,22.64670222
416,22.56986679
417,22.77261905
418,22.60023357
419,22.67129937
420,22.68298706
421,22.65552281
422,22.76057726
423,22.71045208
424,22.58386193
425,22.61682117
426,22.34588383
427,22.33369816
428,22.36736542
429,22.19990338
430,22.30377648
431,22.54372268
432,22.70974951
433,22.443581
434,22.54120603
435,22.63581138
436,22.7628547
437,22.87098156
438,22.99750917
439,23.22146496
440,22.92874224
441,22.81728895
442,22.59825027
443,22.49660665
444,22.57471381
445,22.75255012
446,22.85754596
447,22.55944376
448,22.27170404
449,22.10712119
450,22.24746576
451,22.45112729
452,22.19582811
453,22.04880936
454,22.15638134
455,22.36277377
456,22.12572026
457,22.01107418
458,22.0053736
459,22.30154615
460,22.4323742
461,22.43346387
462,22.29768822
463,22.13100473
464,22.06439685
465,22.28296179
466,22.21641678
467,22.13999049
468,22.33954524
469,22.35437117
470,22.48261143
471,22.20121156
472,22.13690708
473,22.26507828
474,22.38674885
475,22.61310912
476,22.5873344
477,22.38798652
478,22.43444573
479,22.31354516
480,22.52032572
481,22.42675703
482,22.61589695
483,22.61895555
484,22.7838435
485,22.77795343
486,23.04587417
487,23.20083309
488,23.33897778
489,23.20384816
490,23.17181043
491,22.93088712
492,22.8186684
493,22.62192721
494,22.58866773
495,22.44365246
496,22.3370817
497,22.46060392
498,22.60789301
499,22.43868175
500,22.47595196
501,22.41629245
502,22.57010379
503,22.520702
504,22.40944345
505,22.15746804
506,22.15746804
507,22.05831078
508,21.76807421
509,21.60131524
510,21.84116299
511,21.60522396
512,21.42738128
513,21.1988715
514,21.23286654
515,21.51879977
516,21.80068148
517,21.5505814
518,21.51209944
519,21.24154911
520,21.42285472
521,21.60734319
522,21.46256189
523,21.46256189
524,21.72908382
525,21.55637539
526,21.42057561
527,21.34151876
528,21.34151876
529,21.54182249
530,21.54821541
531,21.50171123
532,21.64485832
533,21.60196417
534,21.35922391
535,21.61262159
536,21.6353373
537,21.70093721
538,21.76317714
539,21.54667124
540,21.51932296
541,21.481412
542,21.69643589
543,21.90651771
544,21.61636403
545,21.6329401
546,21.46295514
547,21.4152962
548,21.23200262
549,21.27771116
550,21.21123495
551,20.99331619
552,20.90764913
553,20.70509479
554,20.89073747
555,20.77272243
556,20.75391936
557,20.99470314
558,20.77614494
559,20.49616635
560,20.5021515
561,20.5021515
562,20.51722498
563,20.42244894
564,20.51180445
565,20.59109431
566,20.6936775
567,20.6535874
568,20.70915656
569,20.66126254
570,20.56551847
571,20.69821952
572,20.69821952
573,20.91363417
574,21.20063192
575,20.91331671
576,21.1135692
577,21.00691529
578,21.03145338
579,20.90136783
580,20.80776212
581,21.04223773
582,20.95348403
583,20.95461448
584,20.98388182
585,20.87070826
586,20.88522215
587,21.0751368
588,21.17819741
589,21.0083309
590,20.87298684
591,21.03665786
592,21.14087485
593,21.26195821
594,20.97048675
595,21.14401229
596,21.27267361
597,21.22831873
598,21.18439565
599,21.07544856
600,20.82108626
601,20.61411294
602,20.64935016
603,20.93653814
604,21.11781024
605,20.84893394
606,21.01005042
607,21.00030686
608,20.77796323
609,20.86169351
610,21.03840078
611,20.91015963
612,20.91015963
613,21.1417138
614,21.21813992
615,21.10845006
616,21.12080436
617,21.12449134
618,21.42388079
619,21.60012316
620,21.33741896
621,21.28974269
622,21.48285934
623,21.45281143
624,21.4316857
625,21.41063842
626,21.3531859
627,21.18778539
628,21.09448263
629,20.82126767
630,20.58556542
631,20.48070368
632,20.72634133
633,20.75869864
634,20.9900105
635,20.84106055
636,20.70185892
637,20.5154342
638,20.22627837
639,20.35108973
640,20.19432007
641,20.37789688
642,20.51729999
643,20.67452644
644,20.86978637
645,20.86978637
646,20.87475238
647,20.89228168
648,20.64313254
649,20.93600659
650,20.78073527
651,20.80950741
652,20.88726674
653,20.83573214
654,20.92140332
655,20.94865155
656,20.71713408
657,20.42506267
658,20.25858551
659,20.45970757
660,20.74505348
661,20.68612161
662,20.53393235
663,20.53393235
664,20.78015169
665,20.84724882
666,20.8883191
667,20.84833292
668,20.75242645
669,20.66696591
670,20.54807503
671,20.54807503
672,20.55074199
673,20.55074199
674,20.34805509
675,20.31605511
676,20.19861402
677,20.1001201
678,19.85487221
679,20.14246238
680,20.44034104
681,20.66762578
682,20.40912094
683,20.43659556
684,20.54031159
685,20.24081227
686,19.96084342
687,20.1514085
688,19.93365919
689,19.7606301
690,19.80155992
691,20.05984191
692,19.79137849
693,19.85162816
694,19.61090867
695,19.43635124
696,19.38628918
697,19.38628914
698,19.11894386
699,19.11894386
700,19.11894386
701,19.13435386
702,18.97856322
703,18.87090977
704,18.60369797
705,18.86630379
706,18.86630379
707,18.6416517
708,18.38741761
709,18.11471797
710,18.20816536
711,18.27116305
712,18.08675741
713,18.3087587
714,18.32023742
715,18.11478421
716,18.01570646
717,17.84615041
718,17.65098842
719,17.35984111
720,17.23828064
721,17.02825512
722,17.22893858
723,16.94039243
