"","X1","X0.8","X0.6","X0.4"
"1",0.065,0.168,0.877,0.999
"2",0.042,0.053,0.085,0.183
"3",0.041,0.038,0.04,0.048
"4",0.011,0.043,0.554,0.944
"5",0.315,0.349,0.447,0.617
"6",1,1,1,0.998
"7",0.032,0.165,0.769,0.973
"8",0.034,0.044,0.06,0.124
"9",0.072,0.084,0.074,0.104
"10",0.031,0.162,0.789,0.972
"11",0.043,0.047,0.072,0.151
"12",0.16,0.157,0.152,0.198
"13",0.032,0.165,0.777,0.975
"14",0.048,0.056,0.073,0.164
"15",0.161,0.172,0.173,0.214
"16",0.031,0.155,0.772,0.976
"17",0.065,0.065,0.109,0.2
"18",0.318,0.349,0.343,0.389
"19",0.041,0.205,0.823,0.982
"20",0.032,0.043,0.04,0.131
"21",0.081,0.078,0.094,0.146
