"","X1","X0.8","X0.6","X0.4"
"1",0.056,0.067,0.045,0.076
"2",0.06,0.067,0.047,0.085
"3",0.047,0.049,0.045,0.076
"4",0.028,0.03,0.057,0.203
"5",0.118,0.108,0.122,0.198
"6",0.298,0.298,0.227,0.329
"7",0.04,0.052,0.139,0.317
"8",0.046,0.051,0.071,0.089
"9",0.256,0.275,0.244,0.27
"10",0.025,0.037,0.106,0.311
"11",0.032,0.039,0.055,0.065
"12",0.154,0.169,0.123,0.188
"13",0.026,0.035,0.1,0.289
"14",0.027,0.032,0.04,0.054
"15",0.079,0.097,0.078,0.145
"16",0.029,0.036,0.092,0.283
"17",0.024,0.03,0.04,0.056
"18",0.042,0.063,0.041,0.091
"19",0.055,0.08,0.166,0.392
"20",0.022,0.03,0.033,0.053
"21",0.074,0.081,0.074,0.148
