"","X1","X0.8","X0.6","X0.4"
"LOB_G",0.039,0.116,0.408,0.811
"LOB_K",0.052,0.145,0.438,0.806
"LLB_G",0.035,0.113,0.441,0.831
"LLB_K",0.024,0.17,0.784,0.997
"LTB_G",0.094,0.22,0.531,0.868
"LTB_K",0.178,0.503,0.954,0.998
"LT4B_G",0.032,0.101,0.397,0.755
"LT4B_K",0.086,0.299,0.807,0.972
"LT5B_G",0.034,0.112,0.412,0.78
"LT5B_K",0.078,0.31,0.834,0.982
"LT6B_G",0.034,0.112,0.411,0.792
"LT6B_K",0.077,0.339,0.848,0.99
"LT8B_G",0.029,0.103,0.418,0.791
"LT8B_K",0.093,0.362,0.884,0.987
"LSB_G",0.015,0.072,0.314,0.742
"LSB_K",0.332,0.643,0.972,0.999
