"","1","0.8","0.6","0.4"
"LOS_G",0.059,0.056,0.103,0.216
"LOS_K",0.058,0.092,0.274,0.492
"LOS_T",0.063,0.054,0.048,0.068
"LLS_G",0.016,0.036,0.078,0.235
"LLS_K",0.059,0.144,0.542,0.886
"LLS_T",0,0,0,0
"LTS_G",0.058,0.067,0.131,0.273
"LTS_K",0.049,0.161,0.551,0.899
"LTS_T",0.011,0.012,0.036,0.222
"LT2S_G",0.025,0.048,0.078,0.149
"LT2S_K",0.14,0.234,0.498,0.787
"LT2S_T",0.242,0.245,0.245,0.283
"LT3S_G",0.021,0.029,0.074,0.174
"LT3S_K",0.099,0.177,0.527,0.836
"LT3S_T",0.111,0.096,0.104,0.149
"LT4S_G",0.016,0.031,0.07,0.19
"LT4S_K",0.106,0.231,0.565,0.871
"LT4S_T",0.073,0.082,0.074,0.115
"LT5S_G",0.017,0.034,0.078,0.199
"LT5S_K",0.116,0.24,0.594,0.903
"LT5S_T",0.053,0.054,0.067,0.1
"LSS_G",0.029,0.04,0.085,0.237
"LSS_K",0.245,0.411,0.745,0.937
"LSS_T",0.563,0.597,0.721,0.875
