"","X1","X0.8","X0.6","X0.4"
"LOS_G",0.043,0.066,0.124,0.289
"LOS_K",0.055,0.087,0.199,0.432
"LLS_G",0.031,0.039,0.129,0.309
"LLS_K",0.039,0.114,0.406,0.781
"LTS_G",0.059,0.069,0.158,0.337
"LTS_K",0.064,0.141,0.458,0.847
"LT2S_G",0.031,0.042,0.101,0.21
"LT2S_K",0.142,0.202,0.413,0.671
"LT3S_G",0.028,0.04,0.097,0.254
"LT3S_K",0.1,0.146,0.401,0.698
"LT4S_G",0.032,0.037,0.108,0.261
"LT4S_K",0.078,0.15,0.396,0.728
"LT5S_G",0.032,0.043,0.123,0.269
"LT5S_K",0.076,0.153,0.43,0.762
"LSS_G",0.027,0.034,0.106,0.286
"LSS_K",0.223,0.359,0.672,0.89
