"","X1","X0.8","X0.6","X0.4"
"POB_P",0.061,0.064,0.085,0.156
"POB_K",0.05,0.068,0.219,0.442
"POB_T",0.05,0.056,0.064,0.089
"PPB_P",0.121,0.119,0.174,0.257
"PPB_K",0.195,0.269,0.593,0.832
"PPB_T",0.001,0,0.001,0
"PTB_P",0.084,0.103,0.136,0.234
"PTB_K",0.151,0.245,0.602,0.877
"PTB_T",0.087,0.114,0.188,0.347
"PT4B_P",0.047,0.062,0.089,0.157
"PT4B_K",0.178,0.27,0.602,0.877
"PT4B_T",0.243,0.252,0.381,0.552
"PT5B_P",0.049,0.072,0.089,0.171
"PT5B_K",0.203,0.309,0.654,0.906
"PT5B_T",0.287,0.306,0.436,0.613
"PT6B_P",0.05,0.069,0.094,0.171
"PT6B_K",0.228,0.33,0.68,0.919
"PT6B_T",0.333,0.346,0.474,0.687
"PT8B_P",0.054,0.07,0.098,0.175
"PT8B_K",0.274,0.373,0.711,0.935
"PT8B_T",0.441,0.468,0.606,0.769
"PSB_P",0.073,0.098,0.124,0.219
"PSB_K",0.238,0.341,0.678,0.918
"PSB_T",0.684,0.686,0.817,0.924
