"","X1","X0.8","X0.6","X0.4"
"POB_P",0.065,0.065,0.068,0.111
"POB_K",0.044,0.034,0.074,0.088
"PPB_P",0.095,0.092,0.132,0.161
"PPB_K",0.142,0.13,0.194,0.217
"PTB_P",0.062,0.068,0.085,0.124
"PTB_K",0.045,0.045,0.099,0.13
"PT4B_P",0.045,0.049,0.059,0.088
"PT4B_K",0.072,0.068,0.11,0.133
"PT5B_P",0.045,0.049,0.067,0.089
"PT5B_K",0.066,0.069,0.115,0.149
"PT6B_P",0.042,0.05,0.061,0.086
"PT6B_K",0.055,0.067,0.121,0.152
"PT8B_P",0.046,0.054,0.064,0.097
"PT8B_K",0.076,0.067,0.123,0.165
"PSB_P",0.05,0.062,0.078,0.106
"PSB_K",0.076,0.079,0.147,0.178
