"","X1","X0.8","X0.6","X0.4"
"POS_P",0.061,0.054,0.063,0.062
"POS_K",0.061,0.063,0.056,0.065
"PPS_P",0.084,0.075,0.077,0.084
"PPS_K",0.087,0.094,0.088,0.095
"PTS_P",0.052,0.045,0.047,0.059
"PTS_K",0.033,0.027,0.028,0.045
"PT2S_P",0.032,0.036,0.035,0.045
"PT2S_K",0.115,0.121,0.127,0.137
"PT3S_P",0.031,0.029,0.033,0.046
"PT3S_K",0.078,0.075,0.076,0.095
"PT4S_P",0.038,0.035,0.037,0.044
"PT4S_K",0.064,0.069,0.073,0.086
"PT5S_P",0.041,0.037,0.035,0.044
"PT5S_K",0.067,0.065,0.066,0.087
"PSS_P",0.067,0.058,0.059,0.064
"PSS_K",0.074,0.075,0.086,0.104
